filename,sanskritname,image,botanicalname,familyname,tamilname,malayalamname,hindiname,englishname,description,usefulpart,benefit,action,rasa,guna,virya,vipaka,karma,shortdesc
Kanchanara ,Kanchanara ,kanchanara.jpg,Bauhinia variegata Linn,Caesalpiniaceae,சிவப்பு மந்தாரை ,"Mandaram,chuvanna mandaram, malayakatti,konnu",Kancanar,"Mountain Ebony,Buddhist Bauhinia","It is a medium sized erect and deciduous tree.

Bark- grey with longitudinal cracks, light-pink inside.

Wood- moderately hard, greyish-brown.

Leaves- unifoliolate, 2-lobed, rigidly subcoriaceous, deeply cordate.

Flowers- purple or variously coloured, sessile or borne in short penducled corymbs. Calxy-tube elongated; limb entire, spathaceous.

Fruits- pods, flat, hard, long, curved, compressed, dehiscent.

Seeds 10-15.

(Flowers in March and fruits in rainy season).

Distribution & Habitat :

In the sub-Himalayan tract from the Indus east wards; also in dry forests of central, Easterm and Southern India

Chemical constituents :

flavonoids, kaempferol,galactoside and kaempferol,hentriacontane, octacosanol ,stigmasterol,beta-sitosterol, lupeol and a flavanone glycoside",Kaanda twak (stem bark),"1.External Uses :

It helps in wound cleaning and healing – it cures skin disorders and inflammations. Decoction is used for washing wounds and skin disorders, The bark ground in a paste is useful in lymphadenitis. Decoction made from its bark, pods of babul (Acacia) tree and flowers of pomegranate is used for gargles in oral disorders. Decoction is used for fomentation in rectal prolapse.

2.Internal Uses :

Digestive system : It has astringent , it causes vomiting in excess dose. Being sweet flowers are mild laxative. Astringent properly is useful in diarrhea, dysentery, rectal prolapse, haemorrhoids and helminthiasis. It enhances emetic action when used in conjunction with emetic drugs.

3.Circulatory system : It acts as haemostatic and reduces the inflammation of the lymph nodes (lymphadenitis). It is effective in hemorrhoid disorders.

4.Respiratory system : Used in cough

5.Urinary system : Controls diabetes.

6.Reproductive system : it acts as a haemostatic be astringent property

7.Skin : Used in skin diseases Mixture of kanchanara bark, rice water, and ginger is effective in osteoporosis","Astringent,Antihelminitic,Haemostatic,Anti-inflammatory.",Kashaya ,"Ruksha,laghu",Shita,Katu,"Kaphapitta shamaka,Pittahara due to shita virya and kashaya rasa and kaphahara because of katu vipaka and kashaya rasa.",
Kurutakah,Kurutakah,velipparuthi.jpg,Pergularia extensa N. E. Br.,Asclepiadaceae; Periplocaceae.,வேலிப்பருத்தி ,Velliparuthi,"Utaran,Jutak","Hairknot Plant,Whitlow Plant","Synonyms :

P. daemia (Forsk.) Chiov

Uttamaarani, Vrischikaali, Vishaanikaa. Phalakantaka. Ajashringi

Morphology :

The opposite and broadly ovate to suborbicular leaves are very variable in size, with petioles of varying length. The leaves are almost glabrous above and velvety below.

In the northern hemisphere the flowers appear from mid to late winter, and these are carried on lateral cymes. The flower corolla forms a greenish-yellow or dull white tube. The fruit mature after some 13 to 14 months when they release ovate seeds covered with velvety hairs.","Leaf, root ","
1.Wound Healing:
The white latex from the leaves can be applied to boils and wounds for faster healing. 
2.Digestive Health:
Used to support healthy digestion and relieve gastrointestinal issues. 
Blood Sugar Management:
Believed to help reduce blood sugar levels. 
3.Respiratory Issues:
A leaf decoction can be used to treat cold-related problems, including asthma and bronchitis. 
4.Other Uses:
Treats jaundice, urinary problems, and has antibacterial and anti-fungal properties. 
Important Considerations
5.Anti-fertility Properties:
Pregnant women and those trying to conceive should avoid this herb. 
","➢ Leaf juice is best  anthelmintic.
➢ Leaf paste used for Carbuncle. 
➢ Uthamani is used as adjuvants for various medicine and diseases. 
➢ Uthamani Ennai(Medicated oil) indicated for uterine disorders and arthritis.
➢ Uthamani root powder used for Vatha related disorders.

Pharmocological actions are anti-inflammatory, analgesic, hepatoprotective, 
antipyretic, anthelmintic, antimicrobial, and antioxidant.",Amla,"Guru,ruksha",Ushna,Katu,Vatahara ,
Panasha,Panasha,panasa.jpg,Artocarpus heterophyllus Lam.,Moraceae,பலா,"Plavu, pilavu","Kathal, cakki","Jackfruit, Jack tree","1.Morphology :
*A huge tree grows 15 – 20 mts. high.
Leaves – simple,alternate,  thick with three veins.
✓Flowers – unisexual.
✓Fruit – multiple, 10-20 cms. long and 16-30 cm. broad having thorns all over the surface.
It weighs about 5 to 20 kg. Pulp of unripe fruit is white while that of ripe is yellow. ✓Seeds – 2.5 to 3 cm. long, slightly triangular and contains oil. It bears flowers in November and fruits in April and May. Fruits also hang from the trunk. Fruits and seeds are edible Seeds are roasted and eaten while fibrous part is cooked as vegetable.Fruits come in a wide range of sizes, shapes, and colors. The tiny floating plants known as water-meal are only 1 to 2 mm (0.04 to 0.08 in) wide and have very small flowers. Their miniature ovaries develop into fruits that are barely visible. Watermelons, on the other hand, may be more than 60 cm (24 in) long and weigh more than 20 kg (45 lb). Jackfruits, found in the tropics, can weigh more than 40 kg (90 lb). Diverse fruit shapes abound, including round grapefruits, oval eggplants, elongated bean pods, and star-shaped star anise. Pale to intense shades of orange, red, yellow, and even purple can be found in fleshy fruits, while dry fruits display many tones of brown.

Distribution & Habitat :
All over in India. specially in southern region.

Chemical constituents :
cycloartenone, cycloartenol , beta-sitosterol,flavonoids, artocarpesin,norartocarpetin",Whole plant,"1.External use :

Latex is used as anti-inflammatory and wound healing agent. Phanasa is effective in stomatitis.

2.Internal uses :

Pulp is guru and constipative Decoction of root is an astringent and is given in diarrhoea. Ripe fruit is spermatogenic, brimhana and used in bleeding disorders. Decoction of roots and leaves is useful in skin disorders while decoction of leaves is given as antidote to poisons","rucyam, tarpanam, bramhanam, vrishyam, balyam, hridyam

acrid, astringent,thermogenic, laxative, diurtic","madhura, kashaya","guru,snigdha",sheeta,madhura,"vatapittashamak,(Raw fruit -  kaphavatavardhak).",
Champaka,Champaka,d2cfdef9c8fac9ad61b39eb1d46ff305.jpg,Michelia champaca ,Magnoliaceae,செண்பகம் ,Chempagam/ Chempakam,Champa,Champak,"Sushruta mentions about Champaka, but no references are available about this drug in Charaka Samhita. 
Synonyms : Hemapushpa, Champeya, Gandhaphali.
lt possesses anti-toxic property. 
Indications - Krimi, Mutrakrichchra, Raktapitta, Kandu, Daha, Visha. 

Therapeutic Uses :
1.Mutravikara (Incontinence of urine) - 
Decoction of the root of Champaka checks in continence of urine.  (Vaidyamanorama) 
                                    
2.Yonidurgandha (Foul smell in vagina) -Ghee mixed with tender leaves of Champaka, flowers of Jati and Madhuka and exposed to the Sun is anointed in the vagina to remove the foul smell.     (Gadanigraha) 

Botanical Description:

Evergreen tree, 15-25 m tall; tunk ½ - 1m in girth, or upto 3 m in the wild, straight with dark grey bark; young shoots silky with deciduous, paired stipules. Leaves alternate, simnple, lamina 18-25 x 6-10 cm including 2.3 cm long petiole; Ovate or oblong - lanceolate, leathery, glabrous, entire - somewhat wavy with acute apex and narrowed base. Flowers solitary, axillary with a short jointed stalk, strongly and pleasantly sweet scented, sepals and petals similar in shape, Ovate - oblong - lanceolate, pale golden yellow -orange yellow - orange-red, 15-21 in number in 3 or more series, the inner ones narrower, easily deciduous; stamens many with lincar apiculate anthers, carpels many, free. Fruit a 7-10 cm long cluster of globose capsules, cach subsessile, ovoid, 1.5-2 cm long, dark brown, opening into 2 woody warty valves, white specked;  seeds pink, drying brownish, polished. variously angled with round back.
","Bark, Flower","Michelia champaca is indicated in - 
1. Raktapitta –Bleeding disorders such as nasal bleeding, heavy periods, etc
2. Mutrakrichra –Dysuria, urinary retention
3. Visha – Toxic conditions, poisoning
4. Krumi – worm infestation
5. Hrudya – acts as cardiac tonic, congenial for heart
6. Vatasra – Gout
7. Daha – Burning sensation
8. Vrana – Ulcers, wounds
9. Flower buds are used in treating diabetes
10.It is also used as purgative, treatment of inflammation, amenorrhoea, cough, dyspepsia.","Vishahara, Dahaprashamana","Katu, Tikta, Kashaya, Madhura","Laghu, Ruksha",Sheeta,Katu,Kapha - vatahara,
Guduchi ,Guduchi ,guduchi.jpg,Tinospora cardifolia,Menispermaceae,சீந்தில் கொடி,"Amruthu, Chittamruthu","Giloi, Gulancha","Galancha, Tinospora ","Vagbhata considered Guduchi as the prime drug for Vatarakta. In Dhanvantari Nighantu Padma Guduchi or Kanda Guduchi is described as a variety of Guduchi. Therapeutic usage of Guduchisattwa is mentioned in Rajanighantu, Yogaratnakara and Vaidyachintamani in the management of Jwara and Daha. Charaka enumerated Guduchi under Medhyarasayanas along with Mandookaparni, Yashtimadhu and Shankhapushpi.

Bhavamishra quoted mythological origin of 
Guduchi as follows - 
'During Rama - Ravana war several monkeys were killed. Indra was greatly pleased at the death of Ravana and sprinkle nectar on the dead bodies of monkeys. The nectar dropped to the ground from the bodies of monkeys he into the plant Guduchi.'

This story communicates that Guduchi is bestowed with Ambrosia like properties. Bhavamishra identified that leaf of Guduchi is posessing antipyretic property (Sarvajwaraharam )

Synonyms - 
Kundali, Chakralakshanika, Vishalya, Rasayar.i, Madhuparni, Amrita, Amritavallari, Amara, Chinna, Chinnaruha, Chinnodbhava, Vatsadani, Jivanti, Tantrika, Sama, Somavalli, Chandrahasa, Vayastha, Mandali, Devanirmita, Kshaudraparni, Jwaranashini

Gana : 
Charaka - Vayahsthapana, Dahaprashamana, Trishnanigrahana, Stanyashodhana, Triptighna. 

Sushruta - Guduchyadi, Patoladi, Aragwadhadi, Kakolyadi, Shyamadi, Vallipanchamoola. 

Indications - Vatarakta, Daha, Prameha, Pandu, Trishna, Kamala, Kasa, Kushtha, jwara, Krimi, Chardi, Amlapitta.

Chemical constituents -
Tinosporin, Tinospondine.
","Stem, Stem starch","1. Guduchi is best to cause astringent effect, promoting digestion, alleviating Vata, Kapha, constipation and Raktapitta (bleeding disorders)
2. Rasayani -Rejuvenative
3. Sangrahini -brings about absorptive nature to stomach and intestines, Useful in malabsorption syndrome, diarrhea.
4. Balya -improves strength
5. Agnideepani -Improves digestion power
6. Amahara -relieves Ama -indigestion
7. Trut hara -relieves excessive thirst (as seen in fever)
8. Dahahara -relieves burning sensation in the body. 
9. Mehahara -useful in treatment of diabetes, urinary tract disorders.
10. Kasahara -Useful to relieve cough
11. Paunduhara -relieves anemia
12. Kamala -Useful in treatment of jaundice and related diseases of liver
13. Kushta -Useful in skin diseases
14. Vatasra -Vatarakta -Useful in gout-arthritis
15. Jvara -Useful in fever. 90% of Ayurvedic medicines for fever contain Guduchi as an essential ingredient.
16. Krimihara -useful to relieve intestinal worms.
17. Vamihara -useful to relieve vomiting.
Prameha -useful in diabetes and urinary tract disorders
18. Shwasa -useful in difficulty in breathing, (dyspnoea), asthma, Bronchitis
19. kasa -Cough, cold
20. Arsha -Piles, hemorrhoids
21. Krichra -Difficulty in passing urine
22. Hrudya, Hrudroga -Vatanut -Useful in heart diseases with Vata symptoms such as pain.
23. Chakshushya – improves vision, good for eyes, useful in eye disorders
24. Vayasthapana – anti aging, rejuvenating
25. Vrushya -Aphrodisiac
26. Useful in sero-negative arthritis, ankylosing,spondylitis, multiple sclerosis etc.

","Deepana, Rasayana, Grahi, Chakshusya 
(Guduchisattwa), Medhya","Tikta, Katu, Kashaya","Laghu, Guru, Snigdha",Ushna,Madhura,"Tridoshahara, Pitta - kaphahara ( Sushruta )",
Arka,Arka,Screenshot_20250908-221301.png,Calotropis gigantea (L.) Dryand.,Apocynaceae (Milkweed family),எருக்கு ,Erukku,Akand,Giant Milkweed,"tall shrub with large, thick leaves and clusters of purple or white flowers.","Leaves ,Flowers, Latex","Anti inflammatory, pain relief , Fever reduction ","Anticancer, Antimicrobial, Antiviral","Tikta (Bitter), Katu (Pungent)","Laghu (Light), Sara (Mobile), Snigdha (Oily)",Ushna (Hot),Katu,"Vatahara (Balances Vata), Kaphahara (Balances Kapha), Bhedana (Breaking), Deepana (Appetizer), Kshamighna (Pacifies toxins)",
KanakaDhattūra,Kanaka Dhattūra,imagesRamyaSudhakaran.jpeg,Datura metel Linn,Solanaceae,Kanaka Umaththai,Manja Dhathura,Safed Dhatura,Yellow Thorn-apple / Downy Datura / Metel Datura,"Kanaka Umaththai is a perennial shrubby plant of the Datura genus. It grows up to 1–2 m tall, with broad ovate leaves having a strong odor. Flowers are large, trumpet-shaped, bright yellow in color (hence the name “Kanaka” = gold/yellow). The fruit is a spiny capsule containing numerous black seeds. The whole plant is toxic in high doses but has important medicinal value in Ayurveda and Siddha, particularly in respiratory and neurological disorders.","Leaves ,Flowers ,Seeds ,Roots","1. Relieves asthma and chronic cough (smoking of leaves used in tradition).
2. Analgesic – reduces pain in conditions like arthritis.
3. Antispasmodic – useful in abdominal cramps.
4. Sedative – helps in insomnia and anxiety.
5. Anthelmintic – used against intestinal worms.","Bronchodilator, antispasmodic, analgesic, sedative, antiasthmatic, anti-inflammatory, anticholinergic, antimicrobial, antiparasitic, wound-healing.
","Tikta, Katu","Laghu, tikshna, ruksha",Usna,Katu,Pacifies Kapha and Vāta  Increases Pitta ,
Kakajangha,Kakajangha,1565329869-5072.jpg,Cardiospermum halicacabum,Sapindaceae,முடக்கத்தான் கீரை ,Uzhinja,Kanphata,Balloon Vine,"Cardiospermum halicacabum is a climbing perennial herb with tendrils. The leaves are triternate (divided into three parts), thin and serrated. Flowers are small and white. The most characteristic feature is its inflated, balloon-like capsule that contains black seeds with a white heart-shaped spot. It grows wild in hedges, waste lands, and also cultivated as a medicinal plant across tropical regions.","Leaves, Roots, Seeds","1. Relieves joint pain, arthritis, rheumatism.


2. Reduces swelling and inflammation.


3. Useful in cough, cold, bronchitis.


4. Improves digestion and relieves constipation.


5. Used in skin diseases like eczema and itching.


6. Leaf decoction is used as a hair wash to remove dandruff.


7. Acts as an analgesic (pain reliever).


8. Promotes wound healing.


9. Strengthens nerves and muscles.


10. Used in fever and general debility.
","Anti-inflammatory

Analgesic

Antirheumatic

Antioxidant

Antipyretic

Antimicrobial

Antifungal

Antiallergic

Wound healing

Neuroprotective","Tikta (Bitter) , Kashaya (Astringent)","Laghu (Light) , Ruksha (Dry)",Ushna (Hot),Katu (Pungent),Pacifies Vata and Kapha,
Devadāru,Devadāru,Screenshot_20250908-222041.png,Cedrus deodara (Roxb. ex D.Don) G.Don,Pinaceae,Devadāram,Devadāru / Devadaram,Devadār / Deodar,Deodar Cedar / Himalayan Cedar,"Devadaru is a large evergreen coniferous tree native to the Himalayas, growing up to 40–60 meters tall. The tree has bluish-green needle-like leaves, woody cones, and fragrant, durable wood. In Ayurveda, it is revered as a divine tree (“tree of the gods”), widely used in medicine, rituals, and as timber.",Heartwood  Oil (essential oil from wood)  Leaves (needles)  Resin,"1. Relieves pain and inflammation (Vātahara).


2. Acts as a digestive and carminative, reducing bloating.


3. Helps in respiratory disorders like cough, asthma, bronchitis.


4. Useful in skin diseases with itching and infection.
","Analgesic, anti-inflammatory, carminative, antimicrobial, diuretic, expectorant, anthelmintic, wound healing, antioxidant, nervine relaxant, insecticidal","Tikta (bitter), Kaṭu (pungent)","Laghu (light), Rūkṣa (dry), Tikṣṇa (sharp)",Uṣṇa (hot),Kaṭu (pungent),Pacifies Vāta and Kapha  May increase Pitta if overused,
Tintidika,Amli / Tintidika,Screenshot_20250908-222503.png,Tamarindus indica L.,Fabaceae,புளி மரம் ,Valanpuli,Imli,Tamarind tree,"Puliyamaram is a large evergreen tropical tree with a wide-spreading crown, growing up to 20–25 meters. The tree bears long brown pods with sticky, tangy pulp used widely in food and medicine. The leaves are pinnate, flowers are yellowish, and seeds are hard and glossy. Tamarind is both a culinary spice and a medicinal plant valued in Ayurveda and Siddha for its digestive, laxative, and cooling properties.",Fruit pulp (ripe & unripe)  Seeds  Leaves  Bark  Flowers,"1. Improves digestion and appetite.


2. Acts as a mild laxative, relieving constipation.


3. Reduces excess body heat and quenches thirst.


4. Useful in fever and excessive thirst.


5. Relieves nausea and motion sickness.


6. The pulp helps in liver health and bile secretion.
","Digestive, carminative, laxative, antipyretic, hepatoprotective, antioxidant, antimicrobial, anti-inflammatory, cardioprotective, cooling, thirst-quenching.
","Āmla (sour), Madhura (sweet), Kaṣāya (astringent)"," Laghu (light), Snigdha (unctuous)",Uṣṇa,Madhura,Balances Vāta (especially when ripe & sweet)  Increases Pitta & Kapha if overused (due to sourness),
Dhānyaka,Dhānyaka,coriander.jpg,Coriandrum sativum Linn.,Apiaceae (Umbelliferae),கொத்தமல்லி,Malliyila / Kothamalli,Dhaniya,Coriander,"Coriandrum sativum is an annual herb with finely divided, feathery leaves. The plant has a distinctive aroma due to essential oils. Leaves are widely used fresh in cooking, while the dried seeds are used as a spice. The plant bears small white or pink flowers in umbels, followed by round, aromatic seeds. It is both a culinary and medicinal herb, widely cultivated in India and worldwide","Fruits (Seeds) , Leaves , Whole plant (sometimes used in folk medicine)","1. Improves digestion and relieves bloating, gas, and indigestion.


2. Acts as a carminative and appetizer.


3. Reduces burning sensation and excessive thirst.


4. Useful in fever, especially pitta-type fevers.


5. Beneficial in urinary tract disorders (dysuria, burning micturition).


6. Good for eye health and relieves conjunctival irritation.


7. Acts as a mild detoxifier and reduces excessive sweating.


8. Fresh juice/leaves help in treating headache and skin inflammation.


9. Seeds are useful in cough and respiratory disorders.


10. Supports heart health and helps balance cholesterol.","Carminative

Digestive stimulant

Antioxidant

Antipyretic

Anti-inflammatory

Antimicrobial

Antidiabetic

Hypolipidemic

Diuretic

Neuroprotective","Katu (Pungent), Madhura (Sweet) , Tikta (Bitter)","Laghu (Light) , Snigdha (Slightly unctuous)",Sheeta (Cold),Madhura (Sweet),Balances Pitta and Kapha,
Āmaṇaku,Āmaṇaku,images(1)RamyaSudhakaran.jpeg,Ricinus communis Linn.,Euphorbiaceae,ஆமணக்கு ,Āvaṇam,Arandī,Castor plant / Castor bean plant,"Āmaṇaku (Ricinus communis) is a perennial shrub or small tree that grows up to 2–5 meters in height. It has large, palmately lobed leaves and produces spiny capsules containing seeds. The seeds yield castor oil, which has been used in Ayurveda, Siddha, and folk medicine since ancient times. The plant parts (leaves, roots, oil) are medicinal, though seeds contain toxic ricin, making raw seeds dangerous. Castor oil is a well-known purgative, anti-inflammatory, and used externally for pain relief.","Roots , Leaves , Seeds","1. Powerful purgative (used in constipation).
2. Reduces inflammation and swelling in arthritis, gout.
3. Relieves abdominal pain and bloating.
4. Used in Vata disorders (neurological, joint diseases).
5. Castor oil massage relieves muscular pain and stiffness.
","Purgative, anti-inflammatory, analgesic, antirheumatic, anthelmintic, antispasmodic, carminative, lactagogue, antimicrobial, hair growth promoter","Madhura, Katu, Tikta","Snigdha, Guru",Usna,Madhura,Pacifies Vāta and Kapha  May increase Pitta if overused,
Girinimba,Girinimba,"611H9ZJq9LL._UF1000,1000_QL80.jpg",Murraya koenigii,Rutaceae,கறிவேப்பிலை,Kariveppila,Karipatta,Curry leaves,"Curry leaves are aromatic, teardrop-shaped leaves from the Murraya koenigii tree, native to India, with a distinct citrus and lemongrass-like flavor. They are a staple in South Indian cuisine, used fresh or dried to flavor curries, rice, and dals, and are also valued in Ayurvedic medicine for their health benefits and plant compounds like alkaloids and antioxidants. Unlike curry powder, they are a distinct leaf herb with a unique, pungent taste and are often added to hot oil for tempering","Leaves, roots, bark, fruit","Supports digestive health, regulating blood sugar levels, improving heart health by reducing bad cholesterol, enhancing hair and skin health","Antioxidant, Antiinflammatory, Antidiabetic, anticancer ","Tikta, Kashaya","Laghu, Ruksha",Ushna,Katu,Balances kapha and vata. May increase pitta slightly if taken in excess,
Āmalakī,Āmalakī,imagesRamyaSudh.jpeg,Phyllanthus emblica Linn.,Phyllanthaceae,நெல்லி,Nellikka,Āmlā,Indian Gooseberry / Emblic myrobalan,"Nelli (Phyllanthus emblica) is a medium-sized deciduous tree found throughout India. The fruits are small, round, greenish-yellow, and sour in taste, rich in Vitamin C and antioxidants. In Ayurveda, Āmalakī is revered as a Rasāyana (rejuvenative), forming a major ingredient of Triphala and Chyavanaprāsha. It balances all three doṣas, strengthens immunity, improves digestion, and promotes longevity.","Fruits ,Seeds ,Leaves , Root bark","1. Improves digestion and relieves acidity.
2. Enhances immunity and acts as a rejuvenative (Rasāyana).
3. Promotes hair growth, prevents premature greying.
4. Strengthens eyes and improves vision.
5. Useful in respiratory disorders (cough, asthma).
6. Regulates blood sugar levels (anti-diabetic).
","Antioxidant, immunomodulator, anti-inflammatory, anti-diabetic, hepatoprotective, cardioprotective, adaptogenic, digestive, laxative, hair tonic, anti-ageing.
","Predominantly Amla (sour) But also has all five tastes except Lavaṇa (salty) – Amla, Madhura, Kaṭu, Tikta, Kaṣāya.","Laghu, Ruksha",Sita,Madhura,"Pacifies Tridoṣa (especially Pitta) , Balances Vāta and Kapha also",
Lashuna,Lashuna,Vellai-Poondu.jpg,Allium sativum Linn.,Amaryllidaceae (earlier: Liliaceae),வெள்ளை பூண்டு,Veluthulli,Lahsun,Garlic,"Garlic is a perennial herb, grown globally as a spice and medicine. It produces underground bulbs composed of cloves enclosed in a white-papery sheath. The leaves are flat and linear. Garlic is known for its pungent odor due to sulfur-containing compounds like allicin. It is one of the most valued plants in Ayurveda for its rasayana (rejuvenative), hridya (cardiac), and vata-kapha pacifying properties.","Bulb (cloves) – most used , Leaves (sometimes used fresh in cooking)","1. Improves digestion and relieves bloating and flatulence.


2. Acts as a natural cardiac tonic, strengthens heart.


3. Lowers blood cholesterol and triglycerides.


4. Reduces high blood pressure.


5. Useful in cough, cold, and respiratory disorders.


6. Enhances immunity and fights infections.


7. Relieves joint pain, arthritis, and stiffness.


8. Beneficial in skin diseases and wound healing.


9. Improves fertility and acts as an aphrodisiac (Vrishya).


10. Acts as a rasayana – promotes longevity and energy.","Antihypertensive

Hypolipidemic

Antiplatelet

Antimicrobial

Antiviral

Antifungal

Antioxidant

Anti-inflammatory

Immunomodulatory

Anticancer

Cardioprotective

Neuroprotective","Katu (Pungent) ,  Tikta (Bitter) , Kashaya (Astringent)","Laghu (Light) , Snigdha (Unctuous) , Tikshna (Sharp/Penetrating)",Ushna (Hot),Katu (Pungent),"Pacifies Vata and Kapha  , May increase Pitta if used in excess.",
Īśvaramūla,Īśvaramūla,Aristolochia_bracteolata.jpeg,Aristolochia bracteolata Linn.,Aristolochiaceae,உகை,Garudakkappal,Kitāmari / Kiramar / Nākhodi,Bracteated Birthwort / Worm Killer Plant,"Ugai (Aristolochia bracteolata) is a perennial, creeping herb that grows widely in India and tropical countries. It has heart-shaped leaves, small dull purple flowers with bracts, and a strong odor. Traditionally, it is valued in Siddha, Ayurveda, and folk medicine as an anthelmintic (destroys intestinal worms), antidote for snakebite, and external remedy for skin diseases. It is a potent plant and needs careful dose regulation.","Leaves ,Roots ,Whole plant","1. Kills intestinal worms (strong anthelmintic).
2. Used in snakebite and poisonous insect bites (as antidote).
3. Relieves itching and skin disorders (eczema, ringworm).
4. Reduces swelling and inflammation.
5. Helps in fever and malaria (traditionally used).
6. Acts as a purgative in certain doses.
7. Useful in wounds and ulcers (external application).
","Anthelmintic, anti-inflammatory, antipyretic, antimicrobial, antidote, purgative, analgesic, wound-healing, antiparasitic, detoxifying.
","Tikta, Kasaya, Katu","Laghu, Tikshna, Ruksha",Usna,Katu,"Pacifies Kapha and Vāta , Increases Pitta if overused",
Amli,Amli,tamarind.jpg,Tamarindus indica Linn.,Fabaceae (Leguminosae),புளியமரம்,Puli,Imli,Tamarind,"Tamarindus indica is a large evergreen tree that can grow up to 20–25 meters tall. It has pinnate compound leaves and bears curved brown pods containing a sticky, acidic-sweet pulp with seeds. The pulp is widely used in Indian cooking for its sour taste. Medicinally, it is valued for its digestive, laxative, and cooling properties. The tree is native to tropical Africa but naturalized and extensively cultivated in India and other tropical regions.","Fruit pulp (most common)  ,Seeds  , Leaves,  Bark","1. Improves digestion and acts as a mild laxative.


2. Relieves constipation and bloating.


3. Useful in loss of appetite and anorexia.


4. Reduces thirst and burning sensation.


5. Acts as a cardiac tonic and blood purifier.


6. Helpful in fever and excessive heat (pitta disorders).


7. Used in liver disorders and jaundice.


8. Decoction of leaves is useful in wound healing and skin diseases.


9. Seeds are used in diarrhea and dysentery.


10. Provides relief in sore throat and gum inflammation (as a gargle).","Laxative

Digestive stimulant

Antioxidant

Antipyretic

Hepatoprotective

Antimicrobial

Antiscorbutic

Anti-inflammatory

Hypolipidemic

Cardioprotective","Amla (Sour) , Madhura (Sweet)","Laghu (Light)  , Snigdha (Unctuous)",Ushna (Hot),Amla (Sour),"Pacifies Vata (especially in constipation & digestive weakness)  , Increases Pitta if used in excess (due to amla rasa & ushna virya) , May aggravate Kapha slightly if overused (due to heaviness of pulp).",
Kuḍampuli,Kuḍampuli,image3.jpeg,Garcinia cambogia,Clusiaceae,கொடம்புளி,Koṭampuli,Malabar Imli,Malabar Tamarind / Kudampuli / Brindleberry,"Kodampuli (Garcinia cambogia) is a small to medium-sized tropical tree native to the Western Ghats and coastal regions. It bears round, yellow to reddish fruits about the size of an orange. The dried rind of the fruit is very sour and is used both as a culinary spice (especially in Kerala fish curries) and in traditional medicine. The fruit contains hydroxycitric acid (HCA), which has gained fame for weight management and fat metabolism. In Ayurveda, it is valued as a digestive, anti-obesity, and liver-supportive medicine.","Fruit rind (dried) ,Fruit juice","1. Improves digestion and relieves indigestion.
2. Acts as a natural appetite suppressant (useful in obesity).
3. Aids in weight management and fat metabolism.
4. Relieves intestinal parasites and worms.
5. Used in rheumatic pain and inflammation.
6. Prevents accumulation of bad cholesterol.","Digestive, carminative, anti-obesity, hypolipidemic, hepatoprotective, anti-inflammatory, antimicrobial, anthelmintic, antioxidant, appetite suppressant.
","Amla, Katu","Laghu, ruksha",Usna,Katu," Pacifies Kapha and Vāta , Increases Pitta if overused",
Kakamachi,Kakamachi,GWDGWJG.jpg,Solanum nigrum,Solanaceae,மணத்தக்காளி,Mulaku thakkali,Makoi,Black night shade,"Manathakkali is the Tamil name for the plant known in English as Black Nightshade, also referred to as Sun Berry or Wonder Berry. It is a small, wild plant whose leaves and ripe, dark berries are widely used in South Indian cuisine and traditional medicine. The leaves, or keerai, are a rich source of vitamins, minerals, and antioxidants, traditionally used to treat stomach and mouth ulcers and indigestion. The ripe berries are eaten fresh or sun-dried to make vathal, a preserved condiment for dishes like Vathal Kuzhambu","Leaves, berries, roots","Improves skin health, support kidney function, ulcer relief, digestive health, strengthen liver","Anti cancer (particularly liver cancer), anti ulcer, Hepatoprotective, Antipyretic, diuretic","Tikta, kashaya, madhura","Laghu, snigdha",Sheeta,Madhura,Pacifies pitta and kapha. Excess use may aggravate vata,
Śigru,Śigru,images4.jpeg,Moringa oleifera Lam.,Moringaceae,முருங்கை,Muringa,Sahjan,Drumstick tree / Horseradish tree / Moringa,"Sigru (Moringa oleifera) is a fast-growing, drought-resistant tree, native to the Indian subcontinent. It grows 5–10 meters tall with soft wood, long tripinnate leaves, and slender pods (drumsticks) commonly used in South Indian cuisine. Almost every part of the plant is useful—leaves, flowers, fruits, roots, bark, and seeds. It is highly nutritious (rich in proteins, vitamins, iron, and calcium) and has been called a “superfood.” Ayurveda recognizes it as a potent Kaphahara and Vātahara, especially beneficial in digestive, inflammatory, and metabolic disorders.
","Leaves,  Flowers, Fruits (drumsticks),Roots , Bark,  Seeds","1. Improves digestion and stimulates appetite.
2. Reduces inflammation and joint pain (arthritis, gout).
3. Acts as a blood purifier.
4. Strengthens bones and teeth (rich in calcium).
5. Increases hemoglobin (anti-anemic).
6. Boosts immunity and general strength.","Digestive, carminative, anti-inflammatory, analgesic, hypoglycemic, hypolipidemic, anti-anemic, antioxidant, blood purifier, immunomodulator, galactagogue, aphrodisiac.

","Katu, Tikta","Laghu, Tikshna, Ruksha",Usna,Katu,"Pacifies Kapha and Vāta ,May increase Pitta if used in excess",
